title,subtitle,link,category,subcategory
মেয়েরা ছেলেদেরকে তাদের টাকা পয়সা আর career দেখে বিয়ে করে - এই বিষয়ে আমার দৃষ্টিভঙ্গি কি?,এরকম মেয়েকে কি আমাদের avoid করা উচিত?,https://www.facebook.com/reel/2447544342419442/,বিয়ে,বিয়ের আগে
একজন মেয়ে ধার্মিক কিনা তা বুঝার ninja technique.,পোশাক দেখে যে কারণে একজন মেয়ের ধার্মিকতা বোঝা অসম্ভব।,https://www.facebook.com/reel/2134464247342003/,বিয়ে,বিয়ের আগে
একজন মানুষের জীবনে টাকা পয়সা ঠিক কতটা গুরুত্বপূর্ণ?,সফলতার ধাপগুলোর মধ্যে টাকা পয়সার অবস্থান ঠিক কত নম্বরে?,https://www.facebook.com/reel/740396199068606/,জীবন,
ধর্ম নাকি সৌন্দর্য - একটা মেয়েকে বিয়ে করার সময় কোন বিষয়টা আগে দেখা উচিত?,বাস্তব উদাহরণসহ,https://www.facebook.com/reel/2214030822677022/,বিয়ে,বিয়ের আগে
Career নাকি বিয়ে - কোনটা আগে?,উত্তরটা কি ছেলেদের আর মেয়েদের জন্য আলাদা?,https://www.facebook.com/reel/3297158210445097/,বিয়ে,বিয়ের আগে
arranged marriage এ সাফল্যের ক্ষেত্রে একজন পুরুষের জন্য যেই mindset shift / মানসিকতার পরিবর্তন খুবই জরুরি।,,https://www.facebook.com/reel/1270496425259079/,বিয়ে,বিয়ের পরে
"আপনার life partner কে হবে সেটা যদি ভাগ্যে লেখাই থাকে, তাহলে আপনার কি কিছু করার আছে?",যেই ৪টি simple step follow করে আপনি প্রায় নিশ্চিতভাবে আপনার কাঙ্ক্ষিত life partner খুঁজে পেতে পারেন।,https://www.facebook.com/reel/967075699153470/,বিয়ে,বিয়ের আগে
পড়াশুনায় ভাল করার এবং productivity বাড়ানোর ২টা সহজ ninja technique.,,https://www.facebook.com/reel/1946233112927968/,শিক্ষা,
একজন ছেলে আর একজন মেয়ে কি শুধুই বন্ধু হতে পারে?,practical example সহ বিশ্লেষণ,https://www.facebook.com/reel/1307113298008303/,প্রেম,
career oriented কোনো মেয়েকে বিয়ে করতে চাইলে যেই reality check এবং আলোচনা অতি গুরুত্বপূর্ণ,,https://www.facebook.com/reel/929026503389154/,বিয়ে,বিয়ের আগে
feminist মেয়ে চিনবার এবং avoid করবার ninja technique,বাস্তব উদাহরণসহ,https://www.facebook.com/reel/2474156633030405/,নারীবাদ,
99% পুরুষ সফল top 1% পুরুষ হবার চেষ্টায় যেভাবে নিজের জীবন ধ্বংস করছে,একটি বাস্তব ঘটনা এবং psychological analysis,https://www.facebook.com/reel/1604781224144438/,ধর্ম,
একজন career oriented মেয়ে যেই ninja technique follow করে তার পরিবারের জন্য বিশাল অবদান রাখতে পারে।,মধ্যবিত্ত এবং উচ্চবিত্ত মেয়েদের এই technique ভাল লাগবে না কেন?,https://www.facebook.com/reel/1288695520026760/,বিয়ে,
arrange marriage এক ধরনের business; এখানে কোন ভালবাসার জায়গা নাই - ঠিক কতটুকু সত্য?,,https://www.facebook.com/reel/2293518684510830/,বিয়ে,বিয়ের আগে
marriage biodata তৈরির সময় মানুষ কি কি মারাত্মক ভুল করে থাকে?,marriage biodata তৈরির আসল উদ্দেশ্য কি?,https://www.facebook.com/reel/1468750431467836/,বিয়ে,বিয়ের আগে
নারী পুরুষ দুই পক্ষ চাকরি করবার ফলেই উন্নত দেশগুলো এত উন্নত - এটা ঠিক কত বড় ভুয়া কথা?,জাপানের বাস্তব উদাহরণসহ।,https://www.facebook.com/reel/1209563731258389/,ক্যারিয়ার,
Feminism বনাম accountability - ঠিক যেই কারণে feminist দের মানুষ পছন্দ করে না।,,https://www.facebook.com/reel/815896304898573/,নারীবাদ,
বিয়ের বাজারে ছেলেদের past ঠিক কতটা matter করে?,,https://www.facebook.com/reel/1486093799784052/,বিয়ে,বিয়ের আগে
বিয়ের সময় কিভাবে বুঝবেন একজন মেয়ের past relationship ছিল কিনা?,past ওয়ালা মেয়ে avoid করবার practical ninja technique।,https://www.facebook.com/reel/948280207578490/,বিয়ে,বিয়ের আগে
বিয়ের ক্ষেত্রে একজন মেয়ের past ঠিক কতটা matter করে?,,https://www.facebook.com/reel/958180876897700/,বিয়ে,বিয়ের আগে
অর্থনৈতিকভাবে স্বচ্ছল কোন ছেলের কেন career oriented কোন মেয়েকে বিয়ে করা উচিত না,বাস্তব অভিজ্ঞতাসহ।,https://www.facebook.com/reel/2183184448883405/,বিয়ে,বিয়ের আগে
বিয়ের বাজারের (marriage market) বাস্তবতা: পুরুষদের জন্য ৩টি game-changing factor,,https://www.facebook.com/reel/865523009837617/,বিয়ে,বিয়ের আগে
একজন মেয়ের job qualification এবং marriage qualification ঠিক যেই কারণে সম্পূর্ণ আলাদা দুটি বিষয়।,,https://www.facebook.com/reel/860179687032895/,বিয়ে,বিয়ের আগে
অনেক মেয়ে যেই ninja technique follow করে তাদের normal কাজকে অনেক বিশাল করে দেখায়,,https://www.facebook.com/reel/765305736449160/,নারীবাদ,
একজন মেয়ে বিয়ের পর সংসারী (family oriented) হবে কিনা তা প্রায় ১০০% নিশ্চিতভাবে কিভাবে বুঝবেন?,জেনে নিন ৩টা simple technique,https://www.facebook.com/reel/1483592699847990/,বিয়ে,বিয়ের আগে
Why you should choose your life partner carefully and take relationship advice from me.,,https://www.facebook.com/reel/1870375883906414/,বিয়ে,বিয়ের আগে
ঈদে অতিরিক্ত গাড়ি ভাড়া - দোষটা আসলে কার? আমাদের করণীয় কি?,,https://www.facebook.com/reel/1329739085658837/,দেশ,
বিশ্বাসঘাতকতা (betrayal) নাকি মিডিয়ার সৃষ্টি?,দীর্ঘদিন প্রেমের সম্পর্কের পর নিজের ভাল চিন্তা করে অন্য কাউকে life partner বানানো কি বিশ্বাসঘাতকতা? -- আসুন নিরপেক্ষভাবে চিন্তা করে দেখি।,https://www.facebook.com/reel/1464803151652754/,প্রেম,
দীর্ঘদিন প্রেম ভালোবাসা থেকে করা love marriage কেন এত বেশি fail করে?,Love life vs Married life = REEL life vs REAL life,https://www.facebook.com/reel/1838479086825985/,বিয়ে,বিয়ের আগে
"তুমি দীর্ঘদিন যেই মেয়ের সাথে relationship/প্রেমের সম্পর্কে ছিলে, তাকে কি আদৌ তোমার life partner বানানো উচিত?",,https://www.facebook.com/reel/1233377158910824/,বিয়ে,বিয়ের আগে
Depression / হতাশা দূর করার জন্য যেই একটি পদক্ষেপ ডাক্তারের চিকিৎসার চেয়েও অনেক বেশি কার্যকর।,,https://www.facebook.com/reel/3998612633769312/,জীবন,
বিয়ের পর আপনার wife এর কাঁধে কোন responsibility না দিলে যেভাবে আপনার পরিবার ধ্বংস হতে পারে।,,https://www.facebook.com/reel/943332661536268/,বিয়ে,বিয়ের আগে
আপনার wife এর আশেপাশের মানুষজন আপনার married life এ ঠিক কতটা প্রভাব বিস্তার করে?,যেই ২টা simple technique আপনাকে এই ধরনের negative প্রভাব থেকে দূরে রাখবে। - বাস্তব উদাহরণসহ।,https://www.facebook.com/reel/1959827741593891/,বিয়ে,
Early Marriage Campaign/ অল্প বয়সে বিয়ে যেই কারণে পুরুষদের জন্য একটি ব্যর্থ system.,কেন অনেক পুরুষ Early Marriage Campaign এর ফাঁদে পড়ে পরবর্তীতে আফসোস করে?,https://www.facebook.com/reel/970055072352660/,বিয়ে,বিয়ের পরে
শিয়া এবং সুন্নি মুসলিমদের মধ্যে পার্থক্য আসলে কি?,শিয়ারা ঠিক কি কারণে শিয়া? শিয়ারা কি আদৌ মুসলিম? - এই পুরো বিষয়ে সবচেয়ে unbiased আর well researched মতামত জানতে ভিডিওটি দেখুন।,https://www.facebook.com/reel/1259285662267688/,ধর্ম,
পছন্দের মানুষকে life partner হিসাবে না পেয়ে হতাশ? মাত্র ২টি practical life hack বদলে দিতে পারে আপনার জীবন।,,https://www.facebook.com/reel/2000785054155363/,বিয়ে,বিয়ের আগে
যেকোন exam preparation বা self development এর ক্ষেত্রে আপনার মানসিকতায় এই একটি মাত্র পরিবর্তন এনে দেখু,ইনশা আল্লাহ কোথাও আটকাবেন না। -- নিজের জীবনের বাস্তব অভিজ্ঞতাসহ।,https://www.facebook.com/reel/1247294987379273/,বিয়ে,বিয়ের পরে
"আমাদের সমাজে ""gold digger"" বলে পরিচিত যেসব মেয়ে top 1% ছেলেকে নিজের life partner হিসাবে চায়, তারা কি আদৌ খারাপ?","যুক্তি, প্রমাণ এবং উদাহরণসহ।",https://www.facebook.com/reel/2366514677149189/,বিয়ে,বিয়ের আগে
একজন মেয়ে হিসাবে যেই কাজগুলো করলে আপনার পছন্দের life partner পাওয়া আপনার জন্য প্রায় ১০০% guaranteed,,https://www.facebook.com/reel/1275826677748816/,বিয়ে,বিয়ের আগে
Exam Strategy তে শুধু ১টা পরিবর্তন — যেভাবে সব Academic Exam এ তুমি সাফল্য নিশ্চিত করবে!,,https://www.facebook.com/reel/956127270319986/,শিক্ষা,বিয়ের পরে
যেই দুইটা সহজ technique follow করলে আপনার জীবনে আসা সৌভাগ্য এবং opportunity গুলোকে আপনি খুব সহজেই কাজে লাগাতে পারবেন।,নিজের জীবন থেকে নেয়া ৫টি বাস্তব ঘটনাসহ।,https://www.facebook.com/reel/4692557207697337/,জীবন,
দেশীয় আলেম নাকি সবজান্তা সমশের? ভণ্ড আলেম চেনার ১ নাম্বার উপায়।,,https://www.facebook.com/reel/1202453664996267/,ধর্ম,
আপনার সম্বন্ধে আপনার wife এর খারাপ ধারণা দূর করবার ninja technique,,https://www.facebook.com/reel/807859314974840/,ধর্ম,
ইরান আর আমেরিকার যুদ্ধে আমাদের কাকে support করা উচিত?,আলেমদের মতে মুসলিমরা কখন বিজয়ের মুখ দেখবে? আমাদের মুসলিম উম্মাহর দুর্দশার পিছনে actual কারণগুলো কি কি? - যা নিয়ে আমরা কথা বলতে চাই না।,https://www.facebook.com/reel/947496354291577/,ধর্ম,
পরকীয়ার কারণে ইকরা আপুর আত্মহত্যার আসল ঘটনা।,পরকীয়ার শাস্তি শরীয়াতে ঠিক কতটুকু ভয়াবহ? পরকীয়ার শাস্তি অনুতপ্ত হলে কি ক্ষমা করা যায়? - হাদীস থেকে বাস্তব ঘটনা সহ।,https://www.facebook.com/reel/1646781412986517/,বিশ্লেষণ,
নারীদের জন্য স্বামীর সাথে সম্পর্ক নষ্ট করার ৬টি মারাত্মক Ninja Technique!,,https://www.facebook.com/reel/854321187628116/,বিয়ে,বিয়ের পরে
হুজুরের ফতোয়াবাজি : নারী বৈষম্যের এক সুমহান হাতিয়ার।,অধিকাংশ নারীদের কি আমরাই দাজ্জালের দিকে ঠেলে দিচ্ছি?,https://www.facebook.com/reel/1646003230171772/,ধর্ম,
একজন পুরুষের পক্ষে তার শখের নারীর আবদারগুলো পূরণ করা ঠিক কতটা feasible?,শখের নারীর আবদার পূরণে একজন পুরুষের ঠিক কতটা effort দেয়া উচিত? - বিস্তারিত কাহিনীসহ।,https://www.facebook.com/reel/1224891439759531/,বিয়ে,
যেই কারণে নিজের past বিষয়ে নিজের husband/wife এর সাথে clear থাকা উচিত,সত্যিকার ঘটনা সহ,https://www.facebook.com/reel/788195067119475/,বিয়ে,
বিয়ের ক্ষেত্রে ছেলে/মেয়ের past relationship ঠিক কতটা matter করে?,,https://www.facebook.com/reel/1594380211607773/,বিয়ে,বিয়ের আগে
জামাত শিবিরের শহীদ মিনারে ফুল দেয়া - সিস্টেমে ঢুকে সিস্টেমকে change করবার বদলে নিজেরাই change হয়ে যাওয়া,,https://www.facebook.com/reel/746734221627943/,রাজনীতি,
"জন্ম, মৃত্যু, বিয়ে - সব কি আগে থেকেই ঠিক করা আছে?",সব আগে থেকেই লিখা থাকলে আমাদের করণীয় কি?,https://www.facebook.com/reel/911909754557514/,বিয়ে,বিয়ের আগে
ছেলেদের বিয়ের জন্য মেয়ে খোঁজার নিঞ্জা টেকনিকসমূহ,,https://www.facebook.com/reel/925122714028108/,বিয়ে,বিয়ের আগে
"শপথ গ্রহণ অনুষ্ঠান এবং বিএনপির ডিগবাজি। - অতীত, বর্তমান এবং ভবিষ্যৎ",,https://www.facebook.com/reel/1586554662677804/,বিয়ে,বিয়ের পরে
মানব ধর্মই সবচেয়ে বড় ধর্ম - এক আধুনিক ভাওতাবাজি।,,https://www.facebook.com/reel/25577204965315516/,ধর্ম,
বাংলাদেশের মডারেট মুসলিমরা কি আদৌ মুসলিম?,,https://www.facebook.com/reel/773298475834128/,ধর্ম,
বাংলাদেশের প্রাইভেট ইউনিভার্সিটিগুলোতে শিক্ষকরা ছাত্র আন্দোলনে ছাত্রদের পাশে থাকে না কেন?,নিজ অভিজ্ঞতার আলোকে,https://www.facebook.com/reel/762532236931424/,শিক্ষা,
"২০২৬ বাংলাদেশ ইলেকশন, জুলাই বিপ্লব এবং আমার বিশ্লেষণ।",,https://www.facebook.com/reel/26373136055657459/,বিশ্লেষণ,
"বাংলাদেশিদের visa rejection এর দায় কি শুধুই বাংলাদেশের জনগণের, নাকি নেপথ্যে আছে গভীর racism?",,https://www.facebook.com/reel/1953046588581814/,বিশ্লেষণ,
বাংলাদেশে মেধাবী তরুণরা কেন উদ্যোক্তা হতে ভয় পায়? বাস্তব কারণগুলো,,https://www.facebook.com/reel/1229419998644193/,শিক্ষা,
বিদেশে higher studies শেষে ছেলে মেয়েরা বাংলাদেশে ফিরে আসলে কি দেশের ব্যাপক উন্নয়ন হত,,https://www.facebook.com/reel/875221301994778/,শিক্ষা,
একজন আলেম হয়ে যেভাবে আপনি জালেমদের কাতারে শামিল হতে পারেন।,উপায়সমূহ এবং বিশ্লেষণ।,https://www.facebook.com/reel/885884070732198/,ধর্ম,
আসলেই কি ইহুদি নাসারার ষড়যন্ত্র নাকি আমরাই আমাদের দৈন্য দশার জন্য দায়ী?,,https://www.facebook.com/reel/1257367222949579/,বিশ্লেষণ,
মেয়েরা চাকরি করলে কি আদৌ কোন পারিবারিক সমস্যা সৃষ্টি হয়?,,https://www.facebook.com/reel/1569925010889916/,বিয়ে,
বিয়ের জন্য পাত্র খুঁজে পাওয়া নারীদের জন্য দিন দিন কঠিন হয়ে যাচ্ছে কেন?,আপনি নারী হিসেবে কি কি practical পদক্ষেপ নিতে পারেন?,https://www.facebook.com/reel/1958130308074930/,বিয়ে,বিয়ের আগে
ইসলাম কি জাতীয় পর্যায়ের নারী নেতৃত্ব নিরুৎসাহিত করে?,রাষ্ট্রে নারী নেতৃত্বের সমস্যাগুলো কি?,https://www.facebook.com/reel/3736725069791871/,ধর্ম,
বাংলাদেশের মানুষ গরু ছাগলের মত যেই কারণে বাচ্চা পয়দা করে।,জন্ম নিয়ন্ত্রণ কি ইসলামে হারাম? সমাধান কি?,https://www.facebook.com/reel/1931340377512591/,ধর্ম,
Paedophilia / শিশুকাম: বাঙালি মুসলিম বনাম পশ্চিমা ভাবধারা।,আমরা এতটা biased কেন? সমাধানের উপায় কি?,https://www.facebook.com/reel/1393272188952402/,ধর্ম,
জন্মদিন বা 31st night পালন করা কি আদৌ বিদআত?,"চলুন দেখে আসি বিদআতের সংজ্ঞা, আর চিন্তা করে দেখি দুই কানের মাঝের মগজ দিয়ে।",https://www.facebook.com/reel/1443514193783142/,ধর্ম,
বোরকা কি আদৌ ইসলামিক কোনো পোশাক?,যেভাবে বোরকা পর্দার নামে পাপাচারের রাস্তা উন্মুক্ত করে দেয়।,https://www.facebook.com/reel/1299716785323121/,ধর্ম,
ভালোবাসার মানুষকে না পাবার কষ্ট ভুলবার practical technique - যুবক পুরুষদের জন্য।,,https://www.facebook.com/reel/1027631440021438/,প্রেম,
"বাংলাদেশের মেয়েরা মসজিদে আসতে চাইলে হারাম, আর বাজার ঘাটে গেলে অনেক আরাম - কারণ কি?",,https://www.facebook.com/reel/1227372082936208/,ধর্ম,
স্যারদের হাত থেকে বেত কেড়ে নেবার ফলেই কি এই জেনারেশনের ছেলে মেয়ে বেয়াদব?,আমাদের আগের জেনারেশন ঠিক কতটা ভাল ছিল?,https://www.facebook.com/reel/4164127830513703/,বিশ্লেষণ,
গণভোটে হ্যাঁ ভোট দিলে বাংলাদেশে দুই কক্ষ বিশিষ্ট সংসদ যেমন হবে,,https://www.facebook.com/reel/1785971868742380/,রাজনীতি,
বাংলাদেশের পাবলিক বিশ্ববিদ্যালয়ে শিক্ষক নিয়োগের যতসব আজব নিয়ম,,https://www.facebook.com/reel/778903085231422/,ক্যারিয়ার,
বাংলাদেশের বর্তমান প্রজন্ম যেই কারণে মোবাইল ফোনে addicted - আসল দোষ কার?,,https://www.facebook.com/reel/908322681665874/,জীবন,বিয়ের পরে
"বাংলাদেশে রাজাকার যাদের বলা হয়, তারা কি আসলেই রাজাকার?",,https://www.facebook.com/reel/856821430525452/,রাজনীতি,
"শিক্ষা ব্যবস্থা নয়, জঘন্য পরীক্ষা মূল্যায়নই বেকারত্বের মূল কারণ",,https://www.facebook.com/reel/1713673492926196/,শিক্ষা,
যেই কারণে বাংলাদেশের মেধাবী তরুণেরা বড় কিছু করতে পারে না,,https://www.facebook.com/reel/815542408177430/,শিক্ষা,
Research Project: university শিক্ষকদের ক্লাস ফাঁকি দেওয়ার ninja technique,,https://www.facebook.com/reel/888668750518753/,শিক্ষা,
Trimester system যেভাবে বাংলাদেশের university student দের শিক্ষা জীবন ধ্বংস করে,,https://www.facebook.com/reel/2803168930024457/,শিক্ষা,
বাংলাদেশের জঘন্য salary scheme বনাম উন্নত বিশ্ব,,https://www.facebook.com/reel/1774211859922184/,দেশ,
Non-profit private university থেকে ব্যাপক profit বানানোর ninja technique,,https://www.facebook.com/reel/1433271841713427/,দেশ,
"বাঙালি এবং তার ""স্যার"" ডাক শুনবার আকুতি",,https://www.facebook.com/reel/4219880451592943/,দেশ,
ভণ্ড Motivational দেশপ্রেমিক চিনবার উপায় 101,,https://www.facebook.com/reel/1310610970872281/,দেশ,
